name,event,mark,performance_date,year,acad_year,current_class,class_at_mark,gender,transfer,school
JUSTIN ALBANESE,6k,20:50.7,"Sep  5, 2026",2026,2027,FR,SO,M,No,BINGHAMTON
JUSTIN ALBANESE,1500,3:57.43,"May  9-10, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,4x800,8:06.36,"May  9-10, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,800,1:56.82,"Apr 17, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,4x400,3:27.79,"Apr 17, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,1500,4:00.38,"Apr 11-12, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,800,1:56.03,"Apr  3- 4, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,4x800,7:53.91,"Apr  3- 4, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,Mile,4:20.42,"Feb 20-21, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,4x800,7:42.78,"Feb 20-21, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,DMR,10:03.03,"Feb 20-21, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,800,1:56.53,"Feb 14, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,Mile,4:19.69,"Feb  7, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,Mile,4:23.88,"Jan 31, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,1000,2:35.13,"Jan 24, 2026",2026,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,3000,9:16.01,"Dec  5- 6, 2025",2025,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,8k,27:29.7,"Oct 18, 2025",2025,2026,FR,FR,M,No,BINGHAMTON
JUSTIN ALBANESE,6k,20:17.6,"Aug 30, 2025",2025,2026,FR,FR,M,No,BINGHAMTON
CALEB ALEXANDRE,200,23.18,"May  3- 4, 2025",2025,2025,SO,FR,M,No,BINGHAMTON
