name,event,mark,performance_date,year,acad_year,current_class,class_at_mark,gender,transfer,school
HUNTER ADAMS,4x100,41.73,"May 11-13, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,49.55,"Apr 24-25, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,4x400,3:08.88,"Apr 24-25, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,49.66,"Apr 17-18, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,4x400,3:08.68,"Apr 17-18, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,800,1:58.80,"Apr 10-11, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,200,23.13,"Mar 26-28, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,49.98,"Mar 26-28, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,200,22.85,"Mar 19-21, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,49.83,"Mar 19-21, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,49.86,"Feb 27-28, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,49.07,"Feb 27-28, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,4x400,3:15.36,"Feb 27-28, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,200,22.89,"Feb 13-14, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,50.58,"Feb 13-14, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
HUNTER ADAMS,400,50.70,"Feb  6- 7, 2026",2026,2026,FR,FR,M,No,CHARLESTON SOUTHERN
